condition,condition_label,initialization,mutation,seed,run_id,generation,best_search_fitness,wikitext2_ppl,stage2_candidate_evaluations_cumulative,stage2_evaluated_tokens_cumulative,total_candidate_evaluations_cumulative,total_evaluated_tokens_cumulative,stage2_runtime_minutes_cumulative,total_runtime_minutes_cumulative
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,16,0.70361328125,12.3046875,464,802816,464,802816,8.129091307582955,8.129091307582955
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,17,0.70361328125,,491,851968,491,851968,8.317971181652199,8.317971181652199
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,18,0.70361328125,,518,901120,518,901120,8.527179975342005,8.527179975342005
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,19,0.7021484375,,545,950272,545,950272,8.744113118760287,8.744113118760287
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,20,0.701171875,,572,999424,572,999424,8.959567419346422,8.959567419346422
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,21,0.69921875,12.28125,599,1048576,599,1048576,10.210433716140688,10.210433716140688
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,22,0.69921875,,626,1097728,626,1097728,10.417456744828572,10.417456744828572
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,23,0.68212890625,,653,1146880,653,1146880,10.62003774807478,10.62003774807478
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,24,0.61669921875,,680,1196032,680,1196032,10.83662572928394,10.83662572928394
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,25,0.61572265625,,707,1245184,707,1245184,11.047101947882522,11.047101947882522
